time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,eval/mean_ep_length,eval/mean_reward
1521,98,46.06,-25.42009328,73,149504,0.105712890625,-0.010688377496262547,0.2,0.5681529157795012,-1.845752700418234,720,0.06559320539236069,0.010069587,0.9733964800834656,0.0003,,
,,,,,150000,0.118359375,-0.009922429706784896,0.2,0.6523288637399673,-1.825723524019122,730,0.18751806020736694,0.01062662,0.9670857191085815,0.0003,46.0,-26.10739412009716
1530,99,46.07,-25.260188319999994,74,151552,,,,,,,,,,,,
1539,99,46.05,-26.230049000000005,75,153600,0.066650390625,-0.009536769305123016,0.2,1.3837659135460854,-1.8058806393295526,740,0.38677334785461426,0.009031374,0.9476950168609619,0.0003,,
1547,100,46.05,-25.476854740000004,76,155648,0.0828125,-0.010159262618981302,0.2,1.113679905794561,-1.858132128044963,750,0.36600634455680847,0.009115923,0.9543706178665161,0.0003,,
1555,101,46.04,-25.553852270000007,77,157696,0.09208984375,-0.009872570421430282,0.2,1.1759290816262364,-1.817378130927682,760,0.34747806191444397,0.010144371,0.9562665224075317,0.0003,,
1563,102,46.05,-25.91601762,78,159744,0.1111328125,-0.014326104710926301,0.2,0.9651807189919055,-1.8327135771512986,770,0.21970760822296143,0.011170015,0.9515552520751953,0.0003,,
,,,,,160000,0.14326171875,-0.015462572436081245,0.2,1.123408696986735,-1.8422300688922406,780,0.18091866374015808,0.015184181,0.9564754366874695,0.0003,46.0,-30.085369968414305
1572,102,46.09,-25.306454829999996,79,161792,,,,,,,,,,,,
1580,103,46.1,-25.060771300000003,80,163840,0.163916015625,-0.018681193006341346,0.2,0.8061689808964729,-1.7793613359332086,790,0.12573163211345673,0.014233785,0.9652706384658813,0.0003,,
1588,104,46.08,-26.313427159999996,81,165888,0.167919921875,-0.016345123341307045,0.2,1.0856959895230829,-1.7973830297589302,800,0.3530820310115814,0.014915449,0.9573506116867065,0.0003,,
1597,105,46.04,-26.858591320000002,82,167936,0.113916015625,-0.01520394264080096,0.2,1.16523573147133,-1.7528648559004067,810,0.3482193052768707,0.010806143,0.9403098225593567,0.0003,,
1605,105,46.03,-26.31847225,83,169984,0.103466796875,-0.011688290479651187,0.2,1.1828440309502184,-1.781250212341547,820,0.3060081899166107,0.008688603,0.9477332234382629,0.0003,,
,,,,,170000,0.116552734375,-0.009979774922248908,0.2,0.8927062450442463,-1.7880022637546062,830,0.11193733662366867,0.010280962,0.9621514081954956,0.0003,46.2,-25.460036916285752
1613,106,46.06,-25.104991510000005,84,172032,,,,,,,,,,,,
1622,107,46.09,-25.282618480000007,85,174080,0.113427734375,-0.011482291523134337,0.2,0.7643148578237742,-1.8184274841099977,840,0.0861361026763916,0.009839779,0.9338259100914001,0.0003,,
1630,108,46.1,-24.626980690000003,86,176128,0.128857421875,-0.012588232923008036,0.2,0.719241979951039,-1.8215465411543845,850,0.08351101726293564,0.01301554,0.9594298005104065,0.0003,,
1642,108,46.06,-24.79785662,87,178176,0.13046875,-0.011087584562483243,0.2,0.5013536332640797,-1.8171225853264332,860,0.050752099603414536,0.011566745,0.9654456973075867,0.0003,,
,,,,,180000,0.127294921875,-0.011058625136502086,0.2,0.8068375740200281,-1.8122679594904185,870,0.17853568494319916,0.010351483,0.9623671770095825,0.0003,46.2,-25.455370211601256
1661,108,46.09,-24.625752939999998,88,180224,,,,,,,,,,,,
1677,108,46.08,-24.96199563,89,182272,0.14384765625,-0.016654948942596094,0.2,0.6150741551537067,-1.7903989765793085,880,0.06790929287672043,0.011672993,0.9616262912750244,0.0003,,
1692,108,46.06,-25.123169980000007,90,184320,0.10166015625,-0.009988007339416072,0.2,0.9478407706134021,-1.7747255891561509,890,0.19764827191829681,0.0101120565,0.9405444860458374,0.0003,,
1708,109,46.04,-25.76076398999999,91,186368,0.107373046875,-0.012724226751015522,0.2,0.8426459024660289,-1.747731702402234,900,0.08376094698905945,0.011161659,0.9523674845695496,0.0003,,
1724,109,46.09,-25.968624709999993,92,188416,0.098095703125,-0.013239800733572338,0.2,0.9714615073986351,-1.7194457355886699,910,0.19559739530086517,0.010099096,0.9492015838623047,0.0003,,
,,,,,190000,0.12490234375,-0.013597007657517679,0.2,0.5819012755993753,-1.695883594825864,920,0.22290943562984467,0.011569411,0.9719591736793518,0.0003,46.0,-25.037592548131943
2149,88,46.07,-25.67860347,93,190464,,,,,,,,,,,,
2158,89,46.07,-25.730457660000003,94,192512,0.09296875,-0.010205618865438738,0.2,1.2547178548760711,-1.6789344631135463,930,0.12377671897411346,0.0092679225,0.9587608575820923,0.0003,,
2167,89,46.06,-26.577873739999994,95,194560,0.107763671875,-0.013519504171563312,0.2,1.023566939868033,-1.664089511707425,940,0.30198147892951965,0.009614784,0.9553528428077698,0.0003,,
2177,90,46.04,-25.358487489999998,96,196608,0.155322265625,-0.01668820368940942,0.2,1.011507952027023,-1.7131524313241244,950,0.2995935082435608,0.013928942,0.9659789204597473,0.0003,,
2185,90,46.02,-24.837871749999994,97,198656,0.1232421875,-0.01456941726792138,0.2,0.6991343908011913,-1.7470857109874487,960,0.2623516321182251,0.014606154,0.9578155279159546,0.0003,,
,,,,,200000,0.138916015625,-0.011473148396180476,0.2,0.9507047054823488,-1.733308344334364,970,0.1379200518131256,0.013518062,0.9552359580993652,0.0003,46.2,-28.423372659087182
2196,91,46.02,-25.06149926,98,200704,,,,,,,,,,,,
2205,91,46.04,-25.253907329999997,99,202752,0.164794921875,-0.016183782971347684,0.2,0.9163730271626264,-1.7268567051738501,980,0.17114412784576416,0.013199735,0.9634913802146912,0.0003,,
2214,92,46.03,-25.421912040000002,100,204800,0.137939453125,-0.015948690655932296,0.2,0.9660117799881845,-1.7346612155437469,990,0.2870079278945923,0.012219441,0.9611278772354126,0.0003,,
2223,93,46.03,-25.43220041,101,206848,0.140869140625,-0.01386661855794955,0.2,0.8272276656236499,-1.7507231678813695,1000,0.15966792404651642,0.013454672,0.9586928486824036,0.0003,,
2232,93,46.03,-25.15113413,102,208896,0.111572265625,-0.011409668848500587,0.2,0.778789438912645,-1.756542705371976,1010,0.07844862341880798,0.011744705,0.955431342124939,0.0003,,
,,,,,210000,0.16162109375,-0.014395699443412013,0.2,0.8083894642069935,-1.7512335252016782,1020,0.05269218236207962,0.014626743,0.9477218389511108,0.0003,46.0,-21.00944412946701
2242,94,46.02,-25.101321929999997,103,210944,,,,,,,,,,,,
2250,94,46.01,-25.735810409999996,104,212992,0.0755859375,-0.007707451883470639,0.2,1.0672810309566558,-1.7652231816202402,1030,0.08272189646959305,0.008406397,0.9406875371932983,0.0003,,
2259,95,46.02,-26.655578929999997,105,215040,0.109619140625,-0.01354962870827876,0.2,0.47114233516622334,-1.7904097363352776,1040,0.08269688487052917,0.010905497,0.9690268635749817,0.0003,,
2267,95,46.03,-25.83339399,106,217088,0.123876953125,-0.00877863728092052,0.2,0.6764002209529281,-1.806654803454876,1050,0.1265946477651596,0.0107131405,0.9706650972366333,0.0003,,
2276,96,46.03,-25.97944889,107,219136,0.146923828125,-0.014956651665852406,0.2,0.5755320879165083,-1.8405360858887434,1060,-0.0030669718980789185,0.015341024,0.9601528644561768,0.0003,,
,,,,,220000,0.1005859375,-0.012822088724351487,0.2,0.7637631030753255,-1.7900070574134588,1070,0.14679938554763794,0.008298786,0.9611316323280334,0.0003,46.2,-26.456666499376297
2284,96,46.04,-26.50252538999999,108,221184,,,,,,,,,,,,
2292,97,46.06,-26.990099939999997,109,223232,0.12109375,-0.012831177143380047,0.2,0.6080708529800176,-1.787117761746049,1080,0.08934327960014343,0.010661468,0.9723333120346069,0.0003,,
2301,97,46.06,-24.978198709999997,110,225280,0.187451171875,-0.019390327151631935,0.2,0.5104983105324209,-1.8105872169137,1090,0.03795894235372543,0.014055061,0.9648570418357849,0.0003,,
2309,98,46.08,-25.010665660000004,111,227328,0.1287109375,-0.011064339149743318,0.2,0.4881477653514594,-1.8703441508114338,1100,0.07072184979915619,0.013160022,0.9634724259376526,0.0003,,
2318,98,46.09,-25.69527733,112,229376,0.13603515625,-0.016285841385251843,0.2,0.9401076233945787,-1.8915065959095956,1110,0.1267925351858139,0.013555555,0.9447031021118164,0.0003,,
